№ п/п,№ п/п (по субъектам),"Регистрационный номер в едином государственном реестре объектов культурного наследия (памятников истории 
и культуры) народов Российской Федерации",Наименование объекта культурного наследия,"Датировка, автор",Категория историко-культурного значения объекта культурного наследия,Вид объекта культурного наследия,"Номер акта органа государственной власти
о постановке
на государственную охрану
и о внесении
изменений
в описание*",Тип улицы,Название улицы,Номер дома
308,41,661640737470006,Поселение Тыня XII,энеолит,федерального значения,памятник,75,,,
309,42,661640737480006,Поселение Тыня XIII,"энеолит, ранний железный век",федерального значения,памятник,75,,,
310,43,661640737490006,Поселение Тыня XIV,энеолит,федерального значения,памятник,75,,,
311,44,661640737500006,Поселение Тыня XV,энеолит,федерального значения,памятник,75,,,
312,45,661640738460006,Поселение Тыня XVI,энеолит,федерального значения,памятник,75,,,
313,46,661640738470006,Поселение Тыня XVIII,энеолит,федерального значения,памятник,75,,,
314,47,661640738480006,Стоянка Тыня XIX,энеолит,федерального значения,памятник,75,,,
315,48,661640738490006,Поселение Тыня XXI,энеолит,федерального значения,памятник,75,,,
Горноуральский городской округ,,,,,,,,,,
316,1,661710947030006,"Здание, в котором учился Мамин-Сибиряк Дмитрий Наркисович",,федерального значения,памятник,"1327, 
приложение № 1",,"пос. Висим, 
ул. Мамина-Сибиряка, д. 7",
317,2,661710947020005,"Дом, где в 1852 г. родился 
и провел детские годы писатель Д.Н. Мамин-Сибиряк",,регионального значения,памятник,454,,"пос. Висим, 
ул. Мамина-Сибиряка, д. 9",
318,3,661710828710005,Церковь Рождества Богородицы,1828 г.,регионального значения,памятник,535,,"с. Краснополье, 
ул. Красногвардейская, здание 33",
319,4,661710828720005,Церковь Сретения,1729 г.,регионального значения,памятник,535,,"с. Мурзинка,
ул. Декабристов, здание 14А",
320,5,661710947010006,«Ушковский канал» – замечательное гидротехническое сооружение середины XIX в.,,федерального значения,памятник,"1327, 
приложение № 1",,"г. Нижний Тагил, 
поселок Черноисточинск",
,,,"Объекты 
археологического наследия",,,,,,,
321,6,661640731620006,Ермаковское городище,,федерального значения,памятник,"1327, 
приложение № 1",,,
322,7,661640732390006,Городище «Лайское»,,федерального значения,памятник,"1327, 
приложение № 1",,,
323,8,661640746830006,Ст. Балакино I,поздний бронзовый век,федерального значения,памятник,454,,,
324,9,661640746910006,Стоянка Катаба II,ранний железный век,федерального значения,памятник,535,,,
325,10,661640746920006,Стоянка Катаба III,ранний железный век,федерального значения,памятник,535,,,
326,11,661640746930006,Стоянка Катаба IV,"мезолит, ранний железный век",федерального значения,памятник,535,,,
327,12,661640746800006,Стоянка Ломовка I,"бронзовый век, железный век",федерального значения,памятник,535,,,
328,13,661640746810006,Стоянка Ломовка II,бронзовый век,федерального значения,памятник,535,,,
329,14,661640746820006,Стоянка Ломовка III,мезолит,федерального значения,памятник,535,,,
330,15,661640746850006,Ст. Баранча II,"мезолит, ранний бронзовый век",федерального значения,памятник,454,,,
331,16,661640746860006,Ст. Крутяки I,"мезолит, ранний железный век",федерального значения,памятник,454,,,
332,17,661640746870006,Стоянка Крутяки IX,"мезолит, бронзовый век",федерального значения,памятник,535,,,
333,18,661640746880006,Стоянка Крутяки X-а,"мезолит, ранний железный век",федерального значения,памятник,535,,,
334,19,661640746890006,Стоянка Крутяки XII,мезолит,федерального значения,памятник,535,,,
335,20,661640746900006,Стоянка Крутяки XIII,мезолит,федерального значения,памятник,535,,,
336,21,661640746840006,Ст. Амбарка,"мезолит, неолит, 
ранний железный век",федерального значения,памятник,454,,,
Муниципальное образование «город Екатеринбург»,,,,,,,,,,
337,1,661721097600005,Комплекс мельницы Борчанинова – Первушина,"рубеж 
XIX-XX вв.",регионального значения,ансамбль,75,,"ул. Азина, д. 22",
338,2,661711097600015,силовой цех,,регионального значения,памятник,,,"ул. Азина, д. 22",
339,3,661711097600025,здание проходной,,регионального значения,памятник,,,"ул. Азина, д. 22",
340,4,661711097600035,каменные столярные мастерские,,регионального значения,памятник,,,"ул. Азина, д. 22",
341,5,661711097600045,"Мельница Борчанинова-Первушина, как памятник промышленной архитектуры",1880-е гг.,регионального значения,памятник,16,,"ул. Азина, д. 22",
342,6,661410104690005,Производственное здание Мельковского механического завода Ф.Е. Ятеса,"1845 г., 1897 г., 1910 г.",регионального значения,памятник,75; 207-ПП,,"ул. Азина, д. 27",
343,7,661710758350005,Здание общественное,начало XX в.,регионального значения,памятник,859-ПП,,"ул. Бажова, д. 137",
344,8,661710802090006,Водонапорная башня,"1929 г., архитектор М.В. Рейшер",федерального значения,памятник,636; 624,,"ул. Бакинских комиссаров, д. 2а",
345,9,661710842530005,Здание Госстраха,"1926-1929 гг., архитектор Г.П. Валенков",регионального значения,памятник,75; 207-ПП,,"пер. Банковский, д. 9",
346,10,661710755390004,Дом жилой. Кинотеатр «Заря»,"1955 г., архитектор П.Д. Деминцев",местного (муниципального) значения,памятник,740-ПП,,"ул. Баумана, д. 2",
347,11,661710755230005,"Дом горного землемера 
Г.С. Ярутина","рубеж 
XIX-XX вв.",регионального значения,памятник,75; 1056-ПП,,"ул. Белинского, д. 3",
348,12,661721097590005,Усадьба Г.И. Елизарьева,,регионального значения,ансамбль,"454, 1056-ПП",,"ул. Белинского, д. 6",
349,13,661711097590015,дом с мезонином,1850-е гг.,регионального значения,памятник,,,"ул. Белинского, д. 6",
350,14,661711097590025,флигель,1880-е гг.,регионального значения,памятник,75,,"ул. Белинского, д. 6",
351,15,661710842540005,Дом жилой (Товарищество «Уральский старожил»),1928 г.,регионального значения,памятник,859-ПП,,"ул. Белинского, д. 8-10",
352,16,661610732460005,Дом Дьяконовой в духе эклектики,1890-е гг.,регионального значения,памятник,75,,"ул. Белинского, д. 11",
353,17,661710766910005,Библиотека,"1960 г.,
архитекторы В.Р. Рабинович, Е.В. Яшунский",регионального значения,памятник,859-ПП,,"ул. Белинского, д. 15",
354,18,661710766900005,"Дом архитектора Григорьева 
в стиле модерн","1912-1914 гг., архитектор 
Ф. Григорьев",регионального значения,памятник,75,,"ул. Белинского, д. 19",
355,19,661711035460005,"Дом, в котором в 1906 г. размещалась подпольная типография большевиков",,регионального значения,памятник,75,,"ул. Белинского, д. 20",
356,20,661610735300005,Дом А.Д. Андреевой,"1892 г., техник Е.М. Косяков",регионального значения,памятник,75; 1056-ПП,,"ул. Белинского, д. 59",
357,21,661710917150005,Особняк Шитиковой,конец XIX в.,регионального значения,памятник,75,,"ул. Белинского, д. 66",
358,22,661711004770005,Спасская церковь,"1872-1876 гг., 1878 г., 1880 г., 
1990-е гг. (реставрация)",регионального значения,памятник,16; 207-ПП,,"ул. Бисертская, д. 12а",
359,23,661721035400005,Усадьба Кокшаровых,"середина 
XIX в.",регионального значения,ансамбль,75,,"ул. Боевых дружин, 
д. 26 / 15",
360,24,661711035400015,одноэтажный каменный дом,,регионального значения,памятник,,,,
361,25,661711035400035,флигель каменный,,регионального значения,памятник,,,,
362,26,661711035400025,ворота и ограда,,регионального значения,памятник,,,,
363,27,661721097720005,Комплекс брусковых коттеджей,"1945 г., архитектор М.В. Рейшер",регионального значения,ансамбль,75,,ул. Большакова,
364,28,661711097720035,дом жилой,,регионального значения,памятник,,,"ул. Большакова, д. 82",
365,29,661711097720015,дом жилой,,регионального значения,памятник,,,"ул. Большакова, д. 84",
366,30,661711097720025,дом жилой,,регионального значения,памятник,,,"ул. Большакова, д. 84",
367,31,661711097720045,дом жилой,,регионального значения,памятник,,,"ул. Большакова, д. 86",
368,32,661710944200005,"Здание, в котором в 1943 г. размещался Штаб 61 Гвардейской Свердловско-Львовской танковой бригады, сформированной из уральцев-добровольцев",,регионального значения,памятник,75,,"ул. Блюхера, д. 5а",
369,33,661710766940005,Здание административное,1950-е гг.,регионального значения,памятник,859-ПП,,"ул. Братьев Быковых, д. 11",
370,34,661710944040005,Здание штаба железнодорожных войск,1950-е гг.,регионального значения,памятник,859-ПП,,"ул. Братьев Быковых, д. 34а",
371,35,661510354380005,Дом жилой,1920-1930-е гг.,регионального значения,памятник,859-ПП,,"ул. Вайнера, д. 1",
372,36,661610732980005,Гимназия женская,"конец XIX в., реконструкция в 1960-е гг.",регионального значения,памятник,859-ПП,,"ул. Вайнера, д. 2 / 
ул. Антона Валека, 
д. 11",
373,37,661711097740005,"Усадьба торгового дома  
А.И. Захо: дом жилой","надстроен 
в 1940-е гг.",регионального значения,памятник,859-ПП,,"ул. Вайнера, д. 3/5",
374,38,661811313310005,Здание бывшей товарной биржи,"1916-1925 гг.,
архитектор К.Т. Бабыкин",регионального значения,памятник,75; 1056-ПП,,"ул. Вайнера, д. 9",
375,39,661710782270005,"Дом горсовета № 5. 
(«Дом коммуна»)","1930-е гг., архитектор 
В. Дубровин",регионального значения,памятник,859-ПП,,"ул. Вайнера, д. 9а",
376,40,661710974810005,"Здание Свердловского государственного академического театра драмы, где работали выдающиеся деятели театрального искусства",1930-1967 гг.,регионального значения,памятник,454,,"ул. Вайнера, д. 10",
377,41,661610702900005,Здание бывшей типографии «Гранит»,начало XX в.,регионального значения,памятник,75,,"ул. Вайнера, д. 11",
378,42,661610733070005,"Доходный дом купца 
Е.Е. Емельянова","1850-1897 гг., архитектор А.И. Черданцев",регионального значения,памятник,16; 1056-ПП,,"ул. Вайнера, д. 12 / 
ул. Попова, д. 2",
379,43,661610733270005,"Дом жилой с магазином 
(дом Телегиных)","середина 
XIX в.",регионального значения,памятник,535,,"ул. Попова, д. 1 /
ул. Вайнера, д. 14",
380,44,661610733340005,"Доходный дом 
М.И. и В.И. Дмитриевых","1886 г.,
1906 г., архитектор К.А. Поляков",регионального значения,памятник,454; 1056-ПП,,"ул. Вайнера, д. 16",
381,45,661510212040005,Банк Русско-Азиатский,"1913 г.,
1928 г., 
К.Т. Бабыкин",регионального значения,памятник,859-ПП,,"ул. Малышева, д. 32 / 
ул. Вайнера, д. 22-24",
382,46,661610733390005,Доходный дом Хребтовой,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Вайнера, д. 26",
383,47,661610735400005,Дом мещанина Н.В. Лазарева,"1890 г., техник Н. Блинов",регионального значения,памятник,75; 1056-ПП,,"ул. Вайнера, д. 30",
384,48,661610735420005,"Особняк мещанина 
П.Ф. Блинова",1900-е гг.,регионального значения,памятник,75; 1056-ПП,,"ул. Вайнера, д. 38",
385,49,661721097620005,"Усадьба мещанина 
А.Р. Кожурина",1880-е гг.,регионального значения,ансамбль,859-ПП; 207-ПП,,"ул. Вайнера, д. 42",
386,50,661711097620015,дом жилой,,регионального значения,памятник,,,"ул. Вайнера, д. 42",
387,51,661711097620025,лавка,,регионального значения,памятник,,,"ул. Вайнера, д. 42",
388,52,661710944090005,Жилой дом,"1890-е гг.,
проект техника-чертежника В.К. Тонкова",регионального значения,памятник,"75; 207-ПП; 
757-ПП",,"ул. Вайнера, д. 51",
389,53,661510355340005,"Дом, в котором жил видный революционер Н.Н. Замятин (Батурин)
(Дом мещанина 
В.В. Комиссарова)",1880-е гг.,регионального значения,памятник,75; 207-ПП,,"ул. Вайнера, д. 53",
390,54,661710782330005,Дом Фофанова С.В.,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Вайнера, д. 64 (левый)",
391,55,661710782300005,Особняк с элементами классицизма,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. Вайнера, д. 64 (правый)",
392,56,661710782360005,Памятник деревянного зодчества в стиле модерн,"рубеж 
XIX-XX вв.",регионального значения,памятник,454,,"ул. Вайнера, д. 64 
(во дворе)",
393,57,661610747820005,Доходный дом М.М. Денисова,1900 г.,регионального значения,памятник,75; 207-ПП,,"ул. Вайнера, д. 72 /
ул. Куйбышева, д. 45",
394,58,661710751830005,Дом с мезонином в стиле модерн,"рубеж 
XIX-XX вв., резчик Липатов",регионального значения,памятник,75,,"ул. Венгерских коммунаров, д. 56-а",
395,59,,Здание терапевтического отделения Городской больницы,1929-1930-е гг.,регионального значения,памятник,683,,"Верх-Исетский бульвар, д. 5",
396,60,661720995160005,Госпиталь Верх-Исетского завода,"1824-1826 гг., архитектор М.П. Малахов",регионального значения,ансамбль,454; 1056-ПП,,ул. Верх-Исетский бульвар,
397,61,661710995160035,главный корпус,,регионального значения,памятник,,,"ул. Верх-Исетский бульвар, д. 15",
398,62,661710995160015,флигель,,регионального значения,памятник,,,"ул. Верх-Исетский бульвар, д. 15",
399,63,661710995160045,павильон западный,,регионального значения,памятник,,,"ул. Верх-Исетский бульвар, д. 15",
400,64,661710995160025,павильон восточный,,регионального значения,памятник,,,"ул. Верх-Исетский бульвар, д. 9",
401,65,661720801110005,Комплекс жилых домов,"1950-е гг., архитектор
М.В. Рейшер",регионального значения,ансамбль,859-ПП,,"Верх-Исетский бульвар, д. 18-20",
402,66,661710801110055,дом жилой,,регионального значения,памятник,,,"Верх-Исетский бульвар, д. 18",
403,67,661710801110015,дом жилой,,регионального значения,памятник,,,"Верх-Исетский бульвар, д. 20",
404,68,661710801110025,гараж,,регионального значения,памятник,,,"Верх-Исетский бульвар, д. 18",
405,69,661710801110035,гараж,,регионального значения,памятник,,,"Верх-Исетский бульвар, д. 20",
406,70,661710801110065,ворота,,регионального значения,памятник,,,"Верх-Исетский бульвар, д. 18-20",
407,71,661710801110045,элементы благоустройства,,регионального значения,памятник,,,"Верх-Исетский бульвар, д. 18-20",
408,72,661711249760005,"Госпиталь Екатеринбургского завода, где состоялось первое театрализованное представление",1749 г.,регионального значения,памятник,16,,"ул. Воеводина, д. 5",
409,73,661721097660005,Ансамбль Екатеринбургского железнодорожного вокзала,"1878 г., архитектор П.П. Шрейбер, руководитель строительства П.И. Губонин,
2003 г. (реставрация)",регионального значения,ансамбль,"16; 859-ПП; 
1056-ПП; 
207-ПП",,"ул. Вокзальная, д. 14",
410,74,661711097660035,здание вокзала,,регионального значения,памятник,,,"ул. Вокзальная, д. 14",
411,75,661711097660015,павильон,,регионального значения,памятник,,,"ул. Вокзальная, д. 22",
412,76,661711097660025,башня водонапорная,1884 г.,регионального значения,памятник,,,ул. Вокзальная,
413,77,661710943980005,Клуб совторгслужащих,"1928 г., гражданский инженер 
К.В. Коржинский",регионального значения,памятник,859-ПП; 207-ПП,,"ул. Володарского, д. 9",
414,78,661710944110005,Дом жилой (Дом старых большевиков),1930-е гг.,регионального значения,памятник,75; 207-ПП,,"ул. 8 Марта, д. 1",
415,79,661610731530006,"Жилой комплекс 
«2 Дом Советов»","1930-1932 гг., архитекторы И.П. Антонов,
В.Д. Соколов",федерального значения,памятник,624,,"ул. 8 Марта, д. 2",
416,80,661610736090005,Дом купца О.К. Козицына,"первая половина
XIX в.",регионального значения,памятник,75; 207-ПП,,"ул. 8 Марта, д. 3",
417,81,661710974800005,Дом Уралстройкоопхоза,1930-е гг.,регионального значения,памятник,859-ПП; 207-ПП,,"ул. 8 Марта, д. 4, 
литера В",
418,82,661710776890005,Здание УНИХИМа,"1930-е гг., архитектор К.Т. Бабыкин",регионального значения,памятник,75,,"ул. 8 Марта, д. 5",
419,83,661610731590005,Деловой дом,1920-е гг.,регионального значения,памятник,454; 1056-ПП,,"ул. 8 Марта, д. 8-б",
420,84,,Торговые ряды (Мытный двор),1870-е гг.,регионального значения,памятник,75,,"ул. 8 Марта, 8-д",
421,85,661610731680005,Дом мещанки Д.Я. Симановой,"первая половина
XIX в., 
1995 г. (реставрация)",регионального значения,памятник,16; 207-ПП,,"ул. 8 Марта, д. 12",
422,86,661610735340005,Дом жилой,конец XIX в.,регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 16",
423,87,661710995270005,Лавка,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 16",
424,88,661610735360005,"Дом купцов Яковлевых – 
А.Е. Борчанинова","1859 г.,
1905 г.",регионального значения,памятник,16; 1056-ПП,,"ул. 8 Марта, д. 18",
425,89,661610731740005,Дом жилой с лавкой на первом этаже,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 19",
426,90,661610735280004,Магазин,начало XX в.,местного (муниципального) значения,памятник,740-ПП,,"ул. 8 Марта, д. 19, литер Б",
427,91,661610731900005,Особняк с элементами неоготики,"вторая половина
XIX в.",регионального значения,памятник,75,,"ул. 8 Марта, д. 20",
428,92,661710995310005,Лавка,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 20",
429,93,661710944120005,Дом жилой,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 21",
430,94,661610731910005,Дом купца Соснина,"вторая половина
XIX в., реконструкция 1970-е гг.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 22",
431,95,661710995300005,Дом Сырейщикова Н.Ф.,начало XX в.,регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 23",
432,96,661721293010005,Две лавки,"вторая половина
XIX в.",регионального значения,ансамбль,859-ПП,,"ул. 8 Марта, д. 23, 
ул. 8 Марта, д. 25",
433,97,661720765800005,Дом Бухонина И.Л. и лавка,"вторая половина
XIX в.",регионального значения,ансамбль,859-ПП,,"ул. 8 Марта, д. 24",
434,98,661610732120005,Дом Рязанова И.Д.,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 25",
435,99,661710944100005,Дом купца Иванова В.Н.,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 26",
436,100,661610732220005,Лавка,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 27",
437,101,661710975730005,"Доходный дом купца 
Е.И. Первушина","1906 г., архитектор П.А. Заруцкий",регионального значения,памятник,16; 1056-ПП,,"ул. 8 Марта, д. 28 / 
ул. Радищева, д. 2",
438,102,661610732300005,Дом жилой,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 29",
439,103,661610732320005,Дом мещанина К.А. Чудинова,"первая половина
XIX в.",регионального значения,памятник,75,,"ул. 8 Марта, д. 30",
440,104,661610732330005,Дом Яковлева В.А.,конец XIX в.,регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 31",
441,105,661710995280005,Лавка,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. 8 Марта, д. 31, литер В",
442,106,661710765810005,Дом купца И.М. Белинькова,"первая половина
XIX в.",регионального значения,памятник,75,,"ул. 8 Марта, д. 32",
443,107,661710770860005,"Дом мещанки 
Е.Ф. Погорельцевой","середина 
XIX в.",регионального значения,памятник,75,,"ул. 8 Марта, д. 33",
444,108,661710766930005,"Дом мещанки 
А.С. Калашниковой","1840-е гг., 1870-е гг.",регионального значения,памятник,454; 207-ПП,,"ул. 8 Марта, д. 34",
445,109,661610735320005,"Дом крестьянина 
им. В.И. Ленина",,регионального значения,памятник,454,,"ул. 8 Марта, д. 36",
446,110,661610735330005,Часовня,начало XX в.,регионального значения,памятник,75,,ул. 8 Марта,
447,111,661610736070005,"Здание Духовного училища. 
Учебный корпус Свердловского института народного хозяйства","1840-е гг., архитекторы Э.Х. Сарториус,
В Гуляев,
1903 г., архитекторы Куроедов,
М.Л. Бяллозор, 1934-1941 гг. реконструкция",регионального значения,памятник,454; 207-ПП,,"ул. 8 Марта, д. 62 / 
ул. Народной Воли, 
д. 45",
448,112,661610735310006,Странноприимный дом (монастырская гостиница),"первая половина
XIX в.",федерального значения,памятник,624,,"ул. 8 Марта, д. 68 / 
ул. Декабристов, д. 56, литера А",
449,113,661720777440005,Клиническая больница скорой помощи. Комплекс,"1938 г., архитекторы А.И. Югов, Г.А. Голубев",регионального значения,ансамбль,454; 859-ПП,,"ул. 8 Марта, д. 78а",
450,114,661710777450005,"Здание института экологии растений и животных УНЦ СССР, где в 1971-1976 гг. работал академик С.С. Шварц",,регионального значения,памятник,454,,"ул. 8 Марта, д. 202",
451,115,661710974890005,Могила ювелира В.Г. Рощина,1960 г.,регионального значения,памятник,454,,Восточное кладбище,
452,116,661711097700005,"Дом, где в 1835 г. родился 
и провел детские годы художник А.И. Корзухин","первая половина
XIX в.",регионального значения,памятник,454,,"ул. Гастелло, д. 42",
453,117,661710975740005,"Дом жилой с элементами русского барокко 
в декоре","вторая половина
XIX в.",регионального значения,памятник,"859-ПП; 
1056-ПП; 
799-ПП",,"ул. Гоголя, д. 7",
454,118,661710944070005,"Доходный дом в стиле 
«а ля Рюс»",1880-е гг.,регионального значения,памятник,75,,"ул. Гоголя, д. 20 / 5",
455,119,661710944080005,Главный жилой дом усадьбы Рейнфельд,,регионального значения,памятник,859-ПП,,"ул. Гоголя, д. 42 /
ул. Карла Маркса, 
д. 10",
456,120,661710944030005,Церковь Покрова Пресвятой Богородицы,"1830-1837 гг., архитектор М.П. Малахов",регионального значения,памятник,859-ПП,,"пос. Горный Щит, 
ул. Ленина, д. 12",
457,121,661710766810005,Дом Е.Д. Скрябиной,1880 г.,регионального значения,памятник,75,,"ул. Горького, д. 6",
458,122,661710995320005,"Двухэтажный дом 
в «кирпичном стиле»",1890 г.,регионального значения,памятник,75,,"ул. Горького, д. 7",
459,123,661710766820005,Дом С.Я. Закожурникова,1888 г.,регионального значения,памятник,75,,"ул. Горького, д. 8",
460,124,661610736100005,Доходный дом купца Чувильдина,1900 г.,регионального значения,памятник,75,,"ул. Горького, д. 14",
461,125,661721097690005,Уральская золотосплавная химическая лаборатория,"1850-е гг., вторая половина 
XIX в., архитектор Г.К. Турский",регионального значения,ансамбль,"16; 
Решение Свердловского облисполкома
от 25.11.1988 
№ 446; 
1056-ПП",,"ул. Горького, д. 15 /
ул. Первомайская, д. 1",
462,126,661711097690045,дом жилой,,регионального значения,памятник,,,,
463,127,661711097690025,лаборатория,,регионального значения,памятник,,,,
464,128,661711097690015,флигель,,регионального значения,памятник,,,,
465,129,661711097690035,ограда с воротами,,регионального значения,памятник,,,,
466,130,661721035410005,Усадьба купцов Тарасовых,"XIX в.,
1990-е гг. реконструкция",регионального значения,ансамбль,"75; 859-ПП; 
207-ПП",,"ул. Горького, д. 21-23",
467,131,661711035410035,дом,,регионального значения,памятник,,,,
468,132,661711035410025,флигель северный,,регионального значения,памятник,,,,
469,133,661711035410015,флигель южный,,регионального значения,памятник,,,,
470,134,661710995950005,Особняк в стиле позднего классицизма,"середина 
XIX в.",регионального значения,памятник,75,,"ул. Горького, д. 28",
471,135,661710766790005,Дом купца Степанова,"1886 г., архитектор Коновалов",регионального значения,памятник,75,,"ул. Горького, д. 33",
472,136,661720917130005,"Городская усадьба купца 
Е.А. Деласье","середина 
XIX в.",регионального значения,ансамбль,75,,"ул. Горького, д. 34",
473,137,661710917130045,двухэтажный каменный дом,,регионального значения,памятник,,,,
474,138,661710917130035,одноэтажный каменный флигель,,регионального значения,памятник,,,,
475,139,661710917130025,ограда и ворота,,регионального значения,памятник,,,,
476,140,661710917130015,беседка-ротонда,,регионального значения,памятник,,,,
477,141,661710770850005,Дом И.А. Погудина,1894 г.,регионального значения,памятник,75,,"ул. Горького, д. 39",
478,142,661710766800005,Дом купца Крутикова Ф.И.,"1890 г., архитектор Коновалов",регионального значения,памятник,75,,"ул. Горького, д. 41",
479,143,661720943850005,Здания «Товарищества электрического освещения Андрей Елтышев и К°»,"1894 г., архитектор
А.С. Чирковский, инженер-механик
Н.Я. Панфилов",регионального значения,ансамбль,"75; 859-ПП; 
207-ПП",,"ул. Горького, д. 43",
480,144,661710943850025,здание электростанции,,регионального значения,памятник,,,,
481,145,661710943850015,дом служащих электростанции,,регионального значения,памятник,,,,
482,146,661710943850035,труба дымовая восьмигранная,,регионального значения,памятник,,,,
483,147,661710775240005,Дом врача А.С. Пономарева,"первая половина 
XIX в.",регионального значения,памятник,75,,"ул. Горького, д. 45",
484,148,661710767350005,Дом купца П.Я. Сапожникова,"первая половина 
XIX в.",регионального значения,памятник,75,,"ул. Горького, д. 49",
485,149,661710986510005,Клуб спортивно-технический,1914 г.,регионального значения,памятник,859-ПП,,"ул. Грибоедова, д. 9",
486,150,661711004780005,Бани,1922 г.,регионального значения,памятник,859-ПП,,"ул. XXII партсъезда, 
д. 6",
487,151,661710986500006,Мост через реку Исеть,1820-е гг.,федерального значения,памятник,636; 624,,ул. Декабристов,
488,152,661720995140005,Екатеринбургский земско-городской родильный дом,1883-1930-е гг.,регионального значения,ансамбль,"75; 1056-ПП; 
207-ПП",,"ул. Декабристов, д. 32",
489,153,661710995140015,корпус лечебный,,регионального значения,памятник,,,"ул. Декабристов, д. 32",
490,154,661710995140055,дом врачей,"1912 г., архитектор И.К. Янковский",регионального значения,памятник,,,"ул. Декабристов, д. 32",
491,155,661710995140025,здание служб,,регионального значения,памятник,,,"ул. Декабристов, д. 32",
492,156,661710995140045,ворота,,регионального значения,памятник,,,"ул. Декабристов, д. 32",
493,157,661710995140035,ограда кирпичная,,регионального значения,памятник,,,"ул. Декабристов, д. 32",
494,158,661721017110005,Усадьба Блохиной,"середина 
XIX в.",регионального значения,ансамбль,75,,"ул. Декабристов, 
д. 34 / 66",
495,159,661711017110035,двухэтажный жилой дом,,регионального значения,памятник,,,,
496,160,661711017110015,двое ворот,,регионального значения,памятник,,,,
497,161,661711017110025,ограда,,регионального значения,памятник,,,,
498,162,661721004970005,Усадьба Казанцевых,"начало XIX в., архитектор М.П. Малахов",регионального значения,ансамбль,454,,"ул. Декабристов, 
д. 36-38",
499,163,661711004970015,трехэтажный основной дом,,регионального значения,памятник,,,"ул. Декабристов, 
д. 36-38",
500,164,661711004970035,двухэтажный флигель,,регионального значения,памятник,,,"ул. Декабристов, 
д. 36-38",
501,165,661711004970025,въездная арка,,регионального значения,памятник,,,"ул. Декабристов, 
д. 36-38",
502,166,661721004960005,Усадьба Первушина,"вторая половина
XIX в.",регионального значения,ансамбль,75,,"ул. Декабристов, д. 40",
503,167,661711004960025,дом с мезонином,,регионального значения,памятник,,,"ул. Декабристов, д. 40",
504,168,661711004960015,"полутораэтажный дом 
в русском стиле",,регионального значения,памятник,,,"ул. Декабристов, д. 40",
505,169,661711004960035,ворота,,регионального значения,памятник,,,"ул. Декабристов, д. 40",
506,170,661710771690005,"Дом мещанина 
М.И. Шамшурина","вторая половина
XIX в.",регионального значения,памятник,859-ПП; 207-ПП,,"ул. Декабристов, д. 41",
507,171,661711249600005,Дом двухэтажный кирпичный,"вторая половина
XIX в.",регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 56",
508,172,661710751820005,Пансион женского епархиального училища,XIX-XX вв.,регионального значения,памятник,454; 1056-ПП,,"ул. Декабристов, д. 58",
509,173,661710766830005,Административно-учебное здание,"конец XIX в., перестройка 1953 г.",регионального значения,памятник,75; 1056-ПП,,"ул. Декабристов, д. 83",
510,174,661721249740006,Комплекс зданий Ново-Тихвинского монастыря,"первая половина
XIX в.",федерального значения,ансамбль,624,,"ул. Декабристов, д. 87",
511,175,661711249740016,собор (Успенский),,федерального значения,памятник,,,"ул. Декабристов, д. 87",
512,176,661721249740036,башни,,федерального значения,ансамбль,,,"ул. Декабристов, д. 87",
513,177,661711249740026,ограда,,федерального значения,памятник,,,"ул. Декабристов, д. 87",
514,178,661711306100005,Церковь Всех Святых,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
515,179,661711306030005,Корпус главный,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
516,180,661711306110005,Корпус жилой,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
517,181,661711306020005,Корпус жилой,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
518,182,661711306050005,Кельи западные,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
519,183,661711306120005,Флигель,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
520,184,661711306130005,Богадельня и больница,XIX в.,регионального значения,памятник,859-ПП,,"ул. Декабристов, д. 87",
